Date,Year,Type,Country,Iso_alpha_3,State,Location,Latitude,Longitude,Activity,Sex,Injury,Fatal,Species 
10-Sept-63,1963,Provoked,USA,USA,Florida,"Snapper Point Jetty, Miami, Dade County",,,"Spearfishing, pulled shark’s tail",M,Minor injury to left forearm  PROVOKED INCIDENT,N,"Nurse shark, 1.2 m [4'] "
08-Jul-64,1964,Provoked,USA,USA,Florida,"Palm Beach, Palm Beach County",26.7056172,-80.0361517,Tagging sharks,M,"No injury to occupant, hooked shark rammed & bit boat PROVOKED INCIDENT",N,white shark
Early 1965,1965,Provoked,USA,USA,Florida,"Between Palm  & Salerno Inlets, Martin County",,,Collecting marine specimens,M,"No injury, shark tore his wetsuit after he grabbed it by the tail  PROVOKED INCIDENT",N,"Nurse shark, 0.94 m to 1.2 m [3' to 4'] "
1965,1965,Provoked,USA,USA,California,"Dana Point, San Clemente, Orange County",,,Surfing,M,Puncture wounds to foot when he stepped on a shark    PROVOKED INCIDENT,N,
19-Sept-66,1966,Provoked,USA,USA,Hawaii,50 miles NE of Honolulu,,,Fishing,M,Left elbow or hand bitten PROVOKED INCIDENT,N,
08-Sept-66,1966,Provoked,USA,USA,Florida,"Florida Keys, Monroe County",24.6736205,-81.4981792,Hunting crayfish ,M,Abdomen abraded when he seized shark PROVOKED INCIDENT,N,"Nurse shark, 2.5' "
19-Jul-66,1966,Provoked,USA,USA,South Carolina,"Folly Beach, Charleston County",32.6549967,-79.9406093,Killing a shark,M,"Arm bitten, PROVOKED INCIDENT",N,4' shark
11-Jun-66,1966,Provoked,USA,USA,Florida,"Ft. Lauderdale, Broward County",26.1223084,-80.1433786,Fishing,M,Hand & forearm bitten by hooked shark PROVOKED INCIDENT,N,1.2 m [4'] hammerhead shark
22-Jun-66,1966,Provoked,USA,USA,New Jersey,"Reeds Bay, Brigantine, Atlantic County",,,Clamming,M,3 lacerations on  right leg by speared fish PROVOKED INCIDENT,N,"Local authorities speculated that the water was too cold for sharks, but a 2.1 m [7'], 200-lb pregnant sandbar shark was caught next day"
27-Aug-67,1967,Provoked,USA,USA,California,Ventura,34.4458248,-119.0779359,Pulling shark from the water,M,Nipped on shoulder by captive shark PROVOKED INCIDENT,N,5' blue shark
13-Jun-67,1967,Provoked,USA,USA,Florida,"Key West, Monroe County",24.5548262,-81.8020722,Spearfishing,M,"After shark was speared & hit on head, it bit the diver’s foot  PROVOKED INCIDENT",N,"Nurse shark, 1 m "
